stationId,stationName,parkingQRBikeCnt,parkingELECBikeCnt,stationLongitude,stationLatitude,parkingTotBikeCnt,goo,dong
ST-4,102. 망원역 1번출구 앞,2,5,126.91062927,37.5556488,7,마포구,서교동
ST-5,103. 망원역 2번출구 앞,0,5,126.91083527,37.55495071,5,마포구,망원1동
ST-6,104. 합정역 1번출구 앞,27,2,126.91508484,37.55073929,29,마포구,서교동
ST-7,105. 합정역 5번출구 앞,1,1,126.91482544,37.55000687,2,마포구,서교동
ST-8,106. 합정역 7번출구 앞,0,0,126.91282654,37.54864502,0,마포구,합정동
ST-9,107. 신한은행 서교동지점,7,3,126.91850281,37.55751038,10,마포구,서교동
ST-10,108. 서교동 사거리,17,2,126.91861725,37.55274582,19,마포구,서교동
ST-15,111. 상수역 2번출구 앞,0,0,126.92353058,37.54787064,0,마포구,서강동
ST-16,112. 극동방송국 앞,4,1,126.92320251,37.54920197,5,마포구,서강동
ST-18,113. 홍대입구역 2번출구 앞,72,5,126.9238205,37.5574379,77,마포구,서교동
ST-20,114. 홍대입구역 8번출구 앞,18,0,126.92442322,37.55706024,18,마포구,서교동
ST-12,115. 마스타 빌딩 앞,10,0,126.92711639,37.55893326,10,서대문구,신촌동
ST-17,117. 홍은사거리,1,3,126.94132996,37.59115982,4,서대문구,홍제1동
ST-19,118. 광흥창역 2번출구 앞,2,1,126.9317627,37.54773331,3,마포구,서강동
ST-21,119. 서강나루 공원,5,11,126.93146515,37.54520798,16,마포구,신수동
ST-22,120. 신수동 사거리,0,1,126.93411255,37.54524231,1,마포구,신수동
ST-23,121. 마포소방서 앞,0,0,126.93317413,37.54976654,0,마포구,신수동
ST-24,122. 신성기사식당 앞,1,5,126.93837738,37.54745865,6,마포구,신수동
ST-25,123. 문화촌 공원,5,0,126.9473877,37.59432983,5,서대문구,홍제3동
ST-26,124. 서강대 정문 건너편,2,0,126.93698883,37.55113983,2,마포구,신수동
ST-28,126. 서강대 후문 옆,1,5,126.94384766,37.55041122,6,마포구,대흥동
ST-29,127. 현대벤처빌 앞,2,1,126.93695068,37.5535202,3,마포구,대흥동
ST-30,128. 신촌역(2호선) 1번출구 옆,2,2,126.93634033,37.55549622,4,서대문구,신촌동
ST-31,129. 신촌역(2호선) 6번출구 옆,0,0,126.93756866,37.55505371,0,마포구,대흥동
ST-32,130. 신촌역(2호선) 7번출구 앞,10,0,126.93615723,37.55485916,10,마포구,대흥동
ST-33,131. 증산2교,17,8,126.91110229,37.5841713,25,서대문구,북가좌2동
ST-35,133. 해담는다리,4,8,126.90899658,37.58203125,12,서대문구,북가좌2동
ST-36,134. 연세로 명물길,5,0,126.93807983,37.55789185,5,서대문구,신촌동
ST-37,135. 명물길 원형무대 앞,10,0,126.93984222,37.55922699,10,서대문구,신촌동
ST-39,137. 신촌기차역입구 교차로,0,0,126.9431839,37.55681229,0,서대문구,신촌동
ST-40,138. 신촌동 제1공영주차장 앞,6,5,126.93452454,37.5591774,11,서대문구,신촌동
ST-43,139. 연세대 정문 건너편,1,0,126.93441772,37.55986404,1,서대문구,신촌동
ST-41,140. 이화여대 후문,10,0,126.94073486,37.560009,10,서대문구,신촌동
ST-42,141. 연대 대운동장 옆,5,0,126.93264771,37.56238174,5,서대문구,신촌동
ST-200,142. 아현역 4번출구 앞,1,0,126.95566559,37.55720139,1,마포구,아현동
ST-201,143. 공덕역 2번출구,13,2,126.9502182,37.54457855,15,마포구,아현동
ST-202,144. 공덕역 8번출구,6,1,126.95132446,37.5435791,7,마포구,공덕동
ST-203,145. 공덕역 5번출구,6,10,126.95163727,37.54425049,16,마포구,공덕동
ST-204,146. 마포역 2번출구 뒤,24,6,126.94582367,37.53993607,30,마포구,용강동
ST-205,147. 마포역 4번출구 뒤,6,6,126.94591522,37.53927231,12,마포구,도화동
ST-206,148. 용강동 주민센터 앞,6,4,126.94302368,37.54234695,10,마포구,용강동
ST-207,150. 서강대역 2번출구 앞,0,0,126.93434143,37.55295563,0,마포구,대흥동
ST-210,153. 성산2교 사거리,0,0,126.91261292,37.56469727,0,마포구,성산1동
ST-211,154. 마포구청역 ,2,2,126.90549469,37.56090927,4,마포구,성산1동
ST-212,155. 가좌역1 번출구 앞,1,4,126.91504669,37.56829453,5,마포구,성산2동
ST-213,156. 서울서부지방법원 앞,1,6,126.95491791,37.54933167,7,마포구,공덕동
ST-214,157. 애오개역 4번출구 앞,2,0,126.95668793,37.5530014,2,마포구,공덕동
ST-216,159. 이대역 4번 출구,0,0,126.94634247,37.55695343,0,서대문구,신촌동
ST-217,160. 북아현동 가구거리,0,0,126.9593811,37.55754852,0,마포구,아현동
ST-218,161. 무악재역1번 출구,0,0,126.95064545,37.58224487,0,서대문구,홍제2동
ST-219,162. 봉원고가차도 밑,0,0,126.94667053,37.56626129,0,서대문구,신촌동
ST-220,163. 명지전문대학교 정문 앞,0,1,126.9249649,37.58369827,1,서대문구,홍은2동
ST-221,164. 북가좌1동 주민센터 ,0,0,126.91004944,37.57447815,0,서대문구,북가좌1동
ST-222,165. 중앙근린공원,0,2,126.91394043,37.57513809,2,서대문구,북가좌1동
ST-223,166. 가재울 초등학교,0,0,126.91923523,37.57381821,0,서대문구,남가좌1동
ST-224,167. 연가초등학교 옆,0,0,126.91712952,37.57946014,0,서대문구,남가좌2동
ST-226,169. 북가좌 삼거리,1,0,126.90779877,37.57300186,1,서대문구,북가좌1동
ST-227,170. DMC파크뷰자이아파트 302동 앞,0,1,126.9224472,37.57311249,1,서대문구,남가좌2동
ST-228,171. 임광빌딩 앞,1,0,126.96727753,37.56472397,1,서대문구,충현동
ST-230,173. 서대문역 8번출구 앞,0,1,126.96614838,37.56477737,1,서대문구,충현동
ST-231,175. 홍연2교옆,1,0,126.93088531,37.57806778,1,서대문구,남가좌1동
ST-555,176. 명지대학교 도서관,9,0,126.92402649,37.58109665,9,서대문구,남가좌2동
ST-345,177. 북가좌 초등학교,4,1,126.90965271,37.57763672,5,서대문구,북가좌1동
ST-349,178. 증산3교 앞,2,3,126.90634918,37.57987595,5,서대문구,북가좌1동
ST-232,179. 가좌역 4번출구 앞,0,15,126.91529846,37.56877518,15,서대문구,남가좌1동
ST-233,180. 충정로역 7번출구 아래,0,0,126.96246338,37.55996704,0,서대문구,충현동
ST-339,181. 망원초록길 입구,1,2,126.90267181,37.55134201,3,망원1동,4통
ST-340,182. 망원2빗물펌프장 앞,0,0,126.90306091,37.5513649,0,마포구,망원1동
ST-341,183. 하늘채코오롱아파트 건너편,2,5,126.91932678,37.56538773,7,마포구,연남동
ST-342,184. 7번가피자 서교망원점,9,5,126.90775299,37.55894852,14,마포구,성산1동
ST-343,185. 마포 신수공원 앞,0,0,126.93429565,37.54254532,0,마포구,신수동
ST-344,186. 월드컵공원,10,9,126.89820862,37.56396484,19,마포구,성산2동
ST-346,188. 홍은동 정원여중 입구,8,1,126.93512726,37.58638763,9,서대문구,홍은2동
ST-347,191. 서우빌딩,9,5,126.91073608,37.57889175,14,서대문구,북가좌2동
ST-348,192. 연서어린이공원,0,2,126.92306519,37.57222748,2,서대문구,연희동
ST-350,194. 증산교 앞,3,1,126.90296936,37.57731628,4,서대문구,북가좌1동
ST-351,195. 모래내고가차도 ,2,0,126.91780853,37.56765747,2,서대문구,연희동
ST-352,196. 연희교차로 인근,0,0,126.92589569,37.56612015,0,서대문구,연희동
ST-354,198. 충정2교,0,0,126.96377563,37.5621376,0,서대문구,충현동
